사용자,평점,댓글 내용
HBJ,3.5,"'귀공자'는 아버지를 만나러 한국에 온 필리핀의 지하 복싱 선수가 의문의 킬러들과 재벌 2세의 추격을 받게 되는 액션 스릴러다. 박훈정 감독의 이번 영화는 이전 작들과는 달리 좀 더 힘을 빼고 가벼운 톤도 보여주며 B급 장르적 재미를 선사한다.

박훈정 감독의 이번 영화는 간만에, 아니 거의 처음으로 힘을 많이 뺀 것 같다는 느낌이 들었다. 물론 여기서도 이해관계들이 좀 복잡하게 얽혀있긴 하지만, 중심이 되는 주인공이 살아 움직이는 공공의 적이자 메인 타겟이 되면서 이야기가 생각보다 너무 복잡하거나 난잡하다는 생각이 안 들었다. 또한, 박훈정 감독이 요즘 좋아하는 듯한 푸른색 팔레트로 분위기를 차갑고 진중하게 잡는 것 같지만, 막상 여유를 부리고 허당끼도 있는 캐릭터들의 향연 때문에 의외의 가벼운 맛이 있다. 이 영화에서 킬러 역을 맡은 김선호가 '신세계'에서 황정민이 했던 감초 같은 캐릭터이지만 이종석, 최우식 등에 또 하나의 미남형 사이코패스가 씬스틸러가 되며, 이 영화의 긴장감부터 웃음까지 모두 책임지는 꽤나 매력적인 캐릭터가 된 것 같다. 주연인 강태주도 절박하고 치열한 연기를 잘 펼쳤으며, 김강우와 고아라 또한 재미있는 조연 연기를 보여주며, 전반적으로 배우들의 매력과 여유를 함께 즐길 수 있는 장르 영화였다고 생각한다.

다만, 박훈정 감독의 액션 연출은 여전히 많이 아쉽다. 사람들이 많이 호평하는 '마녀'의 액션도 개인적으로는 별로였는데, 그런 면에서 박훈정 감독은 액션을 처절하게 연출하기는 해도 쾌감있게 연출하는 모습은 아직까지 제대로 보여주지 못한 것 같다. 이 영화에서도 액션이 화려하거나 쾌감이 있거나 흥미진진하다고 생각들진 않았고, 오히려 클라이막스 시퀀스가 편집도 난잡하고 전반적인 구성과 아이디어도 그냥 평이한 난투극처럼 보여서 아쉬웠다."
예비 작가 장시우,2.5,"배우의 매력이 모든 걸 버텨내지만, 이야기의 빈틈은 끝내 메워지지 않는다."
재우,3,장르 구분에 액션보다 코미디를 써야 할 듯
타퇴엽절,3.5,"""박훈정"" 감독의 전작인 <신세계>와 <마녀>를 관람한 후 느꼈던 ""속편에 대한 갈망""을 또다시 느낄 수 있는 작품이었다..^^ 개인적으로 ""귀공자"" 캐릭터는 취향저격이었고, ""김선호"" 배우도 오버하지 않고 잘 소화했다고 생각한다~"
영민하다,3,허우대 멀쩡한 배우들이 허우적 거리는 모습을 보면 괜히 웃기다. 웃김을 수습하지 못한 결말부는 좋지 않다.
그대의 눈동자에 Cheers,3,"23.06.22 1480번째 영화.

기품 없는 겉멋과 볼품 없는 허세 속에서도 빛나는 맑은 눈의 광기."
Fridaythe13th,2.5,실소도 웃음이라면 뭐...
오세일,2,매 쇼트마다 어떻게든 가오를 뽑아내기 위해 안간힘을 쓰는 각본을 계속해서 바라보고 있자니 짜증이 몰려온다. 이쯤 되면 외국어와 힘준 대사들의 향연만으로도 진정 멋있는 순간들을 빚어낼 수 있다고 감독은 굳게 믿는 것 같다.
김용규,3,캐릭터 하나가 주는 매력이 그 외의 단점들을 어느 정도는 가려준다.
SSK,3.5,"느와르의 탈을 쓴 코믹 영화
예상 못했는데 나에겐 오히려 괜찮았다
호불호는 많이 갈릴 거 같음"
김정운,3,김선호의 이질적인 캐릭터만 받아들인다면 볼 만한 영화
Hoon,3,"김선호 너무 매력적이야~
시리즈로 나가면 정말 좋을 거 같다."
핑크맨,2,난잡하고 어수선한 연출에 독이 된 캐릭터의 매력.
최재식,3,매력적인 김선호 캐릭터와 매력적이지 않은 이야기의 흐름
Gooson,2,"귀,멸의 칼날
공,공칠빵
자,바더헛

이런식의 조합과 전개랄까..."
이송원,4.5,한국판 존윅이라고 하면 오바겠지만 머리아프디않고 볼수있는 시원한영화.
지수_evol,1.5,"다리 위에서 도로로 뛰어내릴 때, 박훈정 감독에 대한 일말의 기대감도 뛰어내렸다."
나홍진,1.5,점프가  탈인간급 아니자나요 ㅠㅠ
따옥,4.5,"메가박스 시사회로 보고왔습니다
기대 없이 갔는데 가서 많이 웃다 나왔네요
아무 생각없이 웃을 수 있는 영화라 좋았습니다. 몇몇 캐릭터의 활용은 다소 아쉽지만 상업 오락 영화라고 생각했을 때 이정도의 완성도면 아주 훌륭합니다."
김기욱,1.5,"불필요한 장면 너무 많음...
스피드가 느껴지지 않는 추격신..
같은 개그의 남발..
이해가 안되는 캐릭터들의 행동에 집중이 안됨.."
최승교,2,티 없이 맑은 광인의 웃음 넘치는 집착
하루 한편,3.5,김선호 배우의 숨은 매력. 좋은 소재. 엉만진창 연출.
Insomniac,3,"그놈의 ‘야나두’ 마무리만 아니었다면 참 좋았을 텐데. 김선호로써 빛난, 충분히 그럴 듯한 개성을 지닌.
(+ 하지만 속편은 제발 참아주세요, 감독님.)"
송송,4,난 괜찮은뎅 특히나 김선호 연기😄 23.6.25
park,3,감독님 차기작 텀을 조금 둬보시며 하고 싶은 걸 조금은 자중해보심이 어떨지요...
밖에비온다,3,"귀공자는 우리의 친구

김선호 미소에 치인다."
말챤욱,3,어머니가 아픈 아들의 투사는 이제 그만..
킬링타임,3,"제주도 오지게 좋아하네 감독

웹툰식 오그라드는 감성 결국 배우들이 어떻게 소화하냐에 달린 감독"
배추입니다,3.5,이상하다.. 난 박훈정 감독이랑 왜 이렇게 잘 맞지
김민재,3,액션은 좋았으나 스토리가 전개가 느리고 오글거리는 대사가 아쉽다.
최진홍,3.5,"적당한 양념맛에 자꾸만 손이 가는 불량식품 박훈정.

#롯데시네마도곡"
나이트 시네마,3,"그냥그런 평작에
김선호 라는 신의 한수"
nam kyun kim,1.5,"대사 오글
연기 오글
영어 오글

너는 프로가 아니야 제발..."
송좌,2.5,"김선호 원맨쇼
진짜 쇼."
정현우,4,"사실 마녀 때부터 박 감독님의 코미디 욕심은 조금씩 엿보였고 마녀2 때는 과하다 싶을 정도로 개그 신이 많았는데 이번에는 아예 대놓고 블랙코미디로 밀고 나가시고 후반 가서는 아예 대놓고 코미디물이 되버린다 결과적으로는 극장에서 많이 웃었기에 별 불만은 없다 다만 그 외의 요소는 전작들하고 대동소이하기에 단점들은 여전하다

단점 하나만 언급하자면 액션씬 때 카메라 무빙이 과하다고 생각한다 액션 스피드에 너무 집착한 게 아니신지 의심스러울 정도로 무빙이 심하다 복장도 검정 양복이니 동작이 눈에 안 들어온다 마녀1처럼 안정적이고 단정된 액션이 가장 마음에 들었었는데...

결과: 코미디 스탯만 마구 업그레이드한 또 하나의 박훈정 작품"
JHY980,4,"어 난데, 훈정아 이번 영화도 정말 프로 오타쿠 같고 내 취향에다가 재밌었다 🤍"
성용,3,"영화 초반, 주인공 마르코는 프리미어리그를 보며 역배로 스포츠도박을 하는데 첼시가 무려 4대0 승리를 거두며 돈을 잃는다.
뭣이? 22-23시즌 1년 동안 단 한번도 4득점이란걸 해본적 없는 골결정력 똥망 12위 첼중딱이 4골이나 넣고 이겼다고? 아무리 영화라도 이건 너무 비현실적이라는 생각이 들었다.  아마 첼시가 챔스우승했을 즈음에 시나리오를 썼나보다"
킴지,3,귀공자 가라사대
니콜라이,3.5,"신세계의 화교
vip의 북한인
마녀의 초능력자
귀공자엔 코피노
캐릭터하나만큼은 잘만드는감독이다
다음엔 어떤 나라 어떤 캐릭터가 나올지 기대된다"
도윤,3,김선호나올때만 재밌어요
미평,3,감독님이 코미디에 소질이 있었네
YOU,4,"김선호 맑눈광...
너무 재밌다"
이준서,2.5,"코미디와 액션 사이에서 갈팡질팡.
그럼에도 중독성 강한 박훈정 스타일."
LUCY_luxuanxi,3,"<신세계> < 마녀> 영화감독 맞아요?
예고편 보고 기대 마니 했는데 쩝..
김강우 나온다는 거에 걸러야 했나?
연기는 깔 게 없는데, 왜 매번 찍는 작품은 폭망인지
이번에도.. 어김없이 말아 드셨네요..😂
고아라는 응답하라 나온 그 고아라 맞나
캐릭터 완전 무매력에 연기마저 🐶어색
없어도 무방한 존재감 제로 캐릭터
‘귀공자’ 김선호 말곤 건질 게 하나도 없어

마녀 2부터 뭔가 세~하긴 했는데
이번 영화로 확실히 정신 차렸음
이제부터 박훈정 감독은 믿고 거르는 걸로.."
박찬욱,3,"여전히 가오잡고 오글거리는 대사들을 뱉어대긴 하지만, 마녀 시리즈보다는 낫다."
혜 성,2.5,"대사랑 분위기에서 마녀 느낌이 많이난다.
폼은 폼대로 잡았는데 때리질못한다.

CGV 하단아트몰링."
포녹,3.5,재치 있는 총알들이 어설프게 박힌다.
라씨에이,4,스포일러가 포함되어 내용을 생략했습니다.
임중경,2.5,"해외 로케를 영리하게, 한국 영화 비꼬기. 그러나 언제나 대안은 만화?"
서주원,3.5,빠른 속도감에 인상깊은 김선호의 맑눈광 연기
영화광,2,이 영화에서 허세를 빼면 남는 것이 뭘까?
최현수,4,"피칠갑 소음기 단 권총 액션이 한국 정서에 안맞긴한데 마녀2보다 훨씬 좋았다. 여러가지 디테일에서 맘에 안드는게 많긴 했는데 그냥 심플하게 보면 나쁘지 않았다. 김선호 마스크에 넘어간듯..

근데 김강우 잘 생겼었네. 살짝 권상우랑 닮았다.
23.07.21"
이윤석,3,"V.I.P같은 강렬함을 기대했는데
그냥 순한 맛이었네
맑은 눈의 광인이 아니라 그냥 맑은 눈 ㅋ"
이마윅,3,김선호와 김강우의 열연에 비해 작품이 못 받쳐준 거 같아 아쉬울 뿐.
johnny,3.5,"예상치 못한 또라이같은 주인공을 보는 재미는 있지만
그렇다고 그것만 보고 가기엔 너무 질질 늘어지는 느낌에 조금 아쉬움"
누누,3,"이 대사를 소화하는 김선호가 프로거든 프로, 전문가"
뽀봉이,3,"김선호의 나쁜 미소에 홀려서 영화관을 찾은 1인..

다음엔 홀려서 오지 않으리.."
평가는 늘 주관적,4.5,스포일러가 포함되어 내용을 생략했습니다.
Yoonhui,3,스포일러가 포함되어 내용을 생략했습니다.
박준현,3,"단순히 보여주기 위한 수단으로 이용되는 이야기, 그리고 반전 강박증"
이상호,4,스포일러가 포함되어 내용을 생략했습니다.
무비남,2.5,"마라톤에 출전한 스프린터처럼
가끔 빠르지만, 대개는 버겁다."
별빠,3,"재벌기업 사이코 Vs 혈혈단신 코피노, 양극단 계층의 대립과 충돌, 홍콩 느와르로 변주한 「아비정전」, 괴물 일망타진을 위한 총알장전, 사기급 캐릭터들의 킬러들의 입담은 피칠갑 액션의 MSG 양념, ‘T-1000’ 같이 끈질긴 만찢남 ’김선호‘, 프로 각본가 ‘박훈정’의 「심장이 뛴다」."
홍성욱,3,김선호 연기 잘 한다 끝
jsjs,4,김선호 화보집
수란잔,3,신파의 잡내를 귀공자(김선호)의 쿨내로 '겨우' 잡아낸다.
이수영,3.5,선호형 친구해줘
자유로운소년,3.5,"생각외로 재밌게 봐서 놀랐습니다 ;;;
김선호 배우의 뭔가 똘끼 있는(?) 연기도 괜찮았고
그리고 청불 치고는 눈살 찌푸릴 정도로 잔인하거나 수위가 센것도 별로 없었고...
마지막 반전도 나름 괜찮았고...
근데 그래도 조금만 스토리가 정돈되었으면 좋았겠다 하는 아쉬움은 있었습니다...
뭔가 감독님이 작품을 만들수록 스토리가 아쉬운 느낌이... ;;;
그건 어떻게 안되려나??? 욕심인건가??? 쩝..."
차용현,3,배우가 작품을 살려주길 바라는 박훈정의 방식은 이제 바뀌어야할 듯 한다
톄슈,3.5,금연하세요
Trainspot,3.5,"진짜 기대를 1도 하지 않았고 정보를 찾아보지도 않았다. 그래서 그런가.
박훈정 감독님의 세계관에 동의하지는 않으나
귀공자 캐릭터가 매력적이었다는 것은 인정해야 한다.
230622"
쿠키,2.5,"<신세계> 이후 계속 퇴보하는 듯한 박훈정 감독
.
.
.
.
.
.
.
+ 영화의 거의 유일한 장점인 김선호 배우의 명연기
- 김선호 배우와 대비되는 어색한 연기의 강태주 배우
- 체이싱이 맞는지 싶을 정도로 루즈하게 뽑아낸 카체이싱
- 후반부 액션씬에서 카메라를 흔들리게 해서 액션씬의 멋이 반감됨"
호동신,3.5,"웃음병만 치료하면......
괜짐한 영화임
액션이나 개그나 충분히 즐길만함"
양기자 (YCU),3,"가제가 '슬픈 열대'라길래 하드보일드인 줄 알았는데, 박훈정 감독식의 언어 유머로 범벅한(물론 피범벅 액션은 유지된다) 코미디였다. 아마 박훈정 감독도 관객에게 어떤 카타르시스를 느끼게 할 사이다 장르를 원했던 것이 아닐까. 메인 주제가 '코피노' 남성의 삶을 다뤘다면 더욱.
하지만 몇몇 장면은 판타지처럼 느껴진다.(특히 고속도로 장면)"
Keep,2,"긁어다 베끼기로 연명하던 감독이
여지 없이 날려먹은 황금 같은 기회"
박화영+,N/A,어째 시놉만 봐도 박훈정삘ㅋㅋ
Axllow,4.5,"박훈정감독의 영화와 스타일이 잘맞는건지 영화 불감증이 있을때 항상 박훈정감독 영화를 보면 신선함을 느낀다.
신세계, 마녀, 낙원의밤에 이어서 귀공자에서는 프로킬러 주인공 얼굴을 보는것만으로도 신선했다. 킬러라는 직업을 신선한 방식으로 표현했는데 영화가 끝날때까지 신선한을 유지했다. 내용자체는 일방적으로 적들을 압살하는 수많은 영화와 다를게 없지만 오랜만에 영화에서 신선한 마스크를 볼수있었다는것만으로도 만족스러웠고 어느영화에서든 조금은 애매한 연기를 보여주는 고아라와 김강우를 조연으로 이렇게 잘써먹을수 있는것도 감독능력이라 생각한다. 사건에 강제로 휘말리는 복서 주인공때문에 뒷끝이 개운하지는 않지만 또다른 방식의 여운으로 느껴졌다."
개구리개,2.5,캐릭터 좋다 싶었는데 역시나 컨셉 못버림
공백꽃,3,﻿제발 도망 좀 잘치자
2325,3.5,김선호 웃는걸 시작으로 끝맺음 한 영화
mm,3,웃겨 주셨다는 점에서 가산점 드립니다
제트별,4,타의 추종을 슬며시 불허하는 프로 코믹스
해석왕 고태일,3,복제 사이에 피어난 귀공자
김지노,3.5,"김선호 무릎,구두 쥰내 튼튼!"
효디니,3,"내 다시 김선호한테 빠지지 않겠다고 했거늘,,,,
왜 자꾸 눈가가 촉촉해서는,,,,,
폴인럽,,,"
